Name,Age,AnnualIncome,Debt,Savings,EducationLevel,EmploymentStatus,MaritalStatus,HouseholdSize,YearsInCurrentJob,HasChildren,HomeOwnership,Location,CreditHistory,DrivingExperience,MonthlyExpenses,EmploymentType,LoanApprovalHistory,HealthCondition,ProbabilityOfCarPurchase
Customer23,19,73925,37380,13521,Master,Unemployed,Divorced,3,10,1,Rent,Rural,Poor,3.4164425951208517,3924.0116283255807,Part-Time,Approved,Fair,0.5936068260491675
Customer24,38,35951,45141,47657,Master,Unemployed,Single,2,10,0,Mortgage,Suburban,Excellent,8.572625258738423,4937.125676883934,Full-Time,Approved,Excellent,0.26734471215885336
Customer25,50,117388,48320,6971,High School,Unemployed,Single,2,2,0,Mortgage,Urban,Poor,4.232900181745821,1311.9071993661669,Full-Time,Approved,Poor,0.645916526405514
Customer26,29,38007,47414,29139,High School,Self-Employed,Married,2,7,0,Rent,Rural,Fair,5.8396895086934295,3947.116547836834,Full-Time,Approved,Fair,0.9859719439503437
Customer27,39,71832,38006,19909,College,Unemployed,Single,4,2,1,Own,Suburban,Excellent,6.001677321780343,2024.6052646720084,Full-Time,Denied,Poor,0.04905357258779386
Customer28,61,88596,15577,11531,College,Self-Employed,Single,2,6,1,Mortgage,Rural,Poor,11.568491486489682,1290.3190950560106,Full-Time,Denied,Fair,0.8865306707051678
Customer29,42,60523,22473,14721,High School,Employed,Single,5,5,1,Rent,Urban,Poor,8.816807703448845,2396.1962354623474,Contract,Approved,Good,0.5622825027675228
Customer30,44,118861,28625,19206,College,Employed,Single,1,4,1,Rent,Rural,Excellent,19.0069232761198,4072.2616046687735,Contract,Approved,Good,0.25209865956229993
Customer31,59,116740,15504,37711,PhD,Self-Employed,Single,4,7,0,Mortgage,Urban,Poor,3.4010326969930977,2591.8241166682346,Full-Time,Approved,Excellent,0.9548897100092579
Customer32,45,45524,24089,6530,Master,Self-Employed,Married,2,8,1,Own,Suburban,Good,19.500150562153777,2918.853950913718,Full-Time,Approved,Good,0.4833543030588989
Customer33,33,49282,36487,11116,Master,Self-Employed,Married,1,4,0,Mortgage,Suburban,Fair,5.382134164071015,4978.217345900545,Full-Time,Denied,Fair,0.3316902516733856
Customer34,32,53930,302,258,High School,Unemployed,Single,3,1,1,Rent,Rural,Fair,15.68460479125521,2295.991848008417,Full-Time,Approved,Excellent,0.18149762827084115
Customer35,64,30077,31463,282,Bachelor,Employed,Married,2,1,1,Mortgage,Urban,Good,7.440428597283606,3269.3033961915794,Part-Time,Denied,Excellent,0.24445221025666208
Customer36,61,50611,44912,13937,High School,Self-Employed,Divorced,1,1,0,Own,Urban,Poor,3.718546512928964,2143.5989072691737,Part-Time,Approved,Good,0.8328490415914426
Customer37,20,46984,29259,1898,College,Unemployed,Single,5,1,1,Rent,Urban,Poor,17.29989451967856,2267.5354084791725,Part-Time,Denied,Poor,0.6144100093171658
Customer38,54,44060,42823,4135,Bachelor,Employed,Divorced,3,5,1,Own,Rural,Fair,6.868357085492801,3630.3833905043366,Contract,Denied,Good,0.9132456194883161
Customer39,24,112985,37208,6629,College,Unemployed,Married,5,4,0,Mortgage,Urban,Poor,13.518252680310002,4720.491392426976,Full-Time,Denied,Good,0.23196845215778583
Customer40,38,114056,30659,43936,PhD,Employed,Married,1,9,1,Mortgage,Urban,Fair,11.762430016645904,2940.6152772154464,Part-Time,Approved,Excellent,0.12113857384890148
Customer41,26,73303,35840,19584,College,Unemployed,Divorced,5,3,0,Own,Urban,Fair,9.963369878426612,3957.7996802695093,Full-Time,Approved,Good,0.006087530975590005
Customer42,56,89207,31890,23551,PhD,Employed,Married,1,7,0,Mortgage,Urban,Good,10.420569980322243,901.4295146763372,Full-Time,Denied,Fair,0.5078620376159938
Customer43,35,105046,13598,33380,PhD,Employed,Single,1,8,0,Own,Rural,Fair,14.912520367753464,1450.2111684436713,Contract,Approved,Excellent,0.9983069303819881
Customer44,21,59287,47055,46971,College,Unemployed,Divorced,5,6,0,Mortgage,Rural,Poor,2.6676853683453707,2759.592384137896,Contract,Approved,Good,0.694965268818639
Customer45,42,69711,46733,17071,College,Self-Employed,Single,1,10,1,Own,Urban,Poor,13.695432577200197,590.0527563294866,Part-Time,Denied,Poor,0.30839459196514607
Customer46,31,41954,19508,20074,PhD,Employed,Divorced,2,1,1,Own,Urban,Excellent,18.020429926572994,1637.8474044315146,Part-Time,Approved,Fair,0.8768585830261717
Customer47,26,103340,42287,25188,Bachelor,Self-Employed,Married,1,8,1,Rent,Suburban,Poor,2.097975743377419,2828.3058042123475,Contract,Denied,Poor,0.7817222659879597
Customer48,43,102101,13380,2307,PhD,Unemployed,Divorced,4,10,0,Rent,Suburban,Excellent,3.672413445439668,567.3253921533532,Contract,Approved,Fair,0.015415166076539255
Customer49,19,101520,26984,39901,Master,Self-Employed,Divorced,1,3,1,Own,Urban,Fair,14.616006797338597,1690.4582880171877,Full-Time,Approved,Poor,0.8168604805410224
Customer50,37,117062,44633,11205,PhD,Self-Employed,Single,4,8,1,Mortgage,Urban,Poor,9.308351316647734,2813.1386876414126,Full-Time,Denied,Good,0.300526757238496
Customer51,45,48574,8125,5906,Bachelor,Self-Employed,Married,1,4,1,Mortgage,Suburban,Good,8.667423795460078,3079.1716159156053,Part-Time,Denied,Fair,0.1496734645836011
Customer52,64,39184,36059,2591,Master,Self-Employed,Single,1,8,1,Mortgage,Suburban,Good,3.602366056340481,4665.882618748875,Part-Time,Denied,Excellent,0.22633083973707457
Customer53,24,49096,4033,15149,High School,Self-Employed,Married,5,1,0,Own,Urban,Good,10.628630773637974,3404.0553046277355,Contract,Denied,Excellent,0.468579804375139
Customer54,61,97728,37873,44918,High School,Employed,Single,2,3,0,Own,Rural,Fair,3.4043609127311676,2366.311111384972,Part-Time,Approved,Poor,0.424867927068011
Customer55,25,64016,17087,39951,Bachelor,Employed,Divorced,2,6,1,Own,Rural,Fair,10.055788669900268,4686.580297098805,Full-Time,Approved,Poor,0.28888729937422675
Customer56,64,41246,40901,25150,PhD,Employed,Single,3,9,0,Own,Urban,Excellent,15.508690680271478,4031.9734252450744,Contract,Approved,Poor,0.1722183222070327
Customer57,52,75558,49726,31852,College,Unemployed,Married,5,2,1,Rent,Urban,Good,5.907022799856106,1400.0401450073641,Full-Time,Denied,Fair,0.7622307896421693
Customer58,31,48381,5704,42870,Bachelor,Self-Employed,Married,5,1,1,Own,Suburban,Excellent,10.13493719541482,1088.790626069689,Contract,Approved,Excellent,0.9901097837349171
Customer59,34,66455,7848,49821,Master,Employed,Divorced,2,10,1,Mortgage,Suburban,Excellent,19.848303418539878,3541.152360842298,Contract,Approved,Good,0.7777915804196904
Customer60,53,34018,21592,1283,Master,Unemployed,Married,5,3,0,Rent,Rural,Poor,14.046358043726707,3019.4742450964272,Full-Time,Approved,Fair,0.2959369676715412
Customer61,57,41302,45743,33691,High School,Employed,Single,2,4,1,Mortgage,Urban,Poor,16.98577865479877,4053.531262067401,Part-Time,Denied,Poor,0.24480896141213337
Customer62,21,97506,6924,1125,Master,Employed,Divorced,5,5,0,Own,Suburban,Good,8.88210452465037,3824.622725354089,Part-Time,Denied,Excellent,0.21766587606593824
Customer63,19,71157,27208,1529,Bachelor,Self-Employed,Married,1,3,0,Rent,Rural,Fair,15.589357539391251,3313.4519023588177,Part-Time,Approved,Poor,0.13669507448903628
Customer64,23,84917,19614,26170,Master,Unemployed,Married,2,10,1,Own,Rural,Poor,1.7696742858851149,4938.719772330015,Part-Time,Approved,Good,0.5513305496923012
Customer65,59,113122,488,8438,Bachelor,Self-Employed,Single,2,2,0,Rent,Rural,Fair,3.3353124683026545,2901.153785496839,Full-Time,Denied,Good,0.6054003719533442
Customer66,21,54519,39882,20095,College,Self-Employed,Single,4,2,0,Mortgage,Suburban,Excellent,4.85834126548118,1008.9759042577393,Contract,Denied,Excellent,0.7055026606631373
Customer67,46,117487,25923,16154,High School,Employed,Divorced,5,7,1,Own,Suburban,Excellent,8.63708656768917,4227.231041671947,Full-Time,Denied,Fair,0.680213370933668
Customer68,35,86819,48508,8004,Master,Self-Employed,Married,5,9,0,Own,Urban,Excellent,17.0691526881895,1633.3401305556904,Part-Time,Denied,Good,0.29233331128338247
Customer69,43,110910,35941,9752,Bachelor,Unemployed,Single,2,10,0,Rent,Urban,Excellent,7.5790549649706795,3997.8596666476324,Part-Time,Approved,Good,0.33031100539684655
Customer70,61,101324,29165,43360,PhD,Self-Employed,Divorced,1,2,1,Rent,Rural,Good,13.437802676793794,4806.981932000232,Full-Time,Denied,Good,0.6815145354423379
Customer71,51,35408,1667,26819,High School,Self-Employed,Married,1,7,1,Own,Rural,Excellent,14.476971601266184,3635.5798128395354,Contract,Approved,Good,0.34944764078362833
Customer72,27,89379,26213,36632,College,Self-Employed,Married,1,7,0,Rent,Suburban,Poor,12.137464727678486,3182.135724274105,Full-Time,Denied,Poor,0.21262318961931304
Customer73,53,55053,4114,26515,Bachelor,Employed,Divorced,5,7,1,Own,Suburban,Excellent,7.787597395232588,2571.7377905376825,Full-Time,Approved,Poor,0.37433615369673956
Customer74,31,39446,36321,24217,College,Unemployed,Divorced,4,3,1,Rent,Urban,Fair,11.964013492557342,2139.8443969793148,Full-Time,Approved,Fair,0.27208415757797766
Customer75,48,30922,7761,23172,College,Employed,Single,2,7,0,Mortgage,Urban,Poor,7.503046263005178,2088.5213793732632,Contract,Denied,Excellent,0.0883127212185778
Customer76,32,81356,31116,32994,Master,Employed,Married,3,1,0,Rent,Urban,Fair,2.5936010324882295,3363.6771756931576,Full-Time,Approved,Excellent,0.8301389022766535
Customer77,25,40789,33768,15036,Master,Employed,Married,4,10,1,Mortgage,Suburban,Fair,19.863275585534275,3880.7290262198567,Full-Time,Approved,Excellent,0.8531113891570363
Customer78,31,96656,48406,11739,Bachelor,Employed,Married,3,1,0,Rent,Rural,Good,3.416466619017707,3553.326812679865,Part-Time,Approved,Good,0.21975030016687946
Customer79,40,74028,25426,32220,PhD,Employed,Divorced,4,5,1,Rent,Urban,Good,2.3746192928850895,1392.8454553710321,Full-Time,Denied,Poor,0.06477219952520175
Customer80,57,94484,17772,49416,Bachelor,Unemployed,Single,1,2,1,Own,Urban,Fair,17.69208423493596,2722.94231064571,Part-Time,Denied,Poor,0.7388274373511795
Customer81,38,62154,38218,9587,PhD,Self-Employed,Married,5,9,0,Rent,Suburban,Fair,6.7348585569650075,4062.380324823783,Part-Time,Denied,Fair,0.2115286258634137
Customer82,33,112870,3712,44517,College,Employed,Divorced,3,7,0,Rent,Urban,Excellent,13.355642507396645,2640.668351850753,Part-Time,Approved,Excellent,0.39343548943686024
Customer83,62,32336,1367,30129,High School,Employed,Married,4,4,1,Mortgage,Rural,Poor,7.251108863582424,2914.8047588097224,Contract,Approved,Poor,0.06413525223738326
Customer84,35,97779,40957,645,Bachelor,Unemployed,Single,5,4,1,Rent,Suburban,Excellent,8.43763114509495,3970.1122167687,Part-Time,Approved,Fair,0.22626958475843517
Customer85,64,49029,41781,30930,Bachelor,Unemployed,Married,3,2,1,Own,Urban,Good,5.980146468319134,3475.6938781929116,Full-Time,Approved,Excellent,0.7929022783296358
Customer86,41,89201,49606,16299,PhD,Self-Employed,Single,2,5,1,Mortgage,Urban,Good,7.5178361100671935,2342.052143970767,Full-Time,Denied,Good,0.8043964469152018
Customer87,43,62265,26200,30090,College,Unemployed,Single,4,4,0,Own,Suburban,Excellent,8.80330761114432,4529.357200373985,Part-Time,Approved,Poor,0.2070848248877104
Customer88,42,73872,3726,21953,College,Self-Employed,Married,2,1,1,Own,Suburban,Poor,14.687905312754514,1231.5518089856537,Part-Time,Approved,Poor,0.33591384510668953
Customer89,62,76197,23616,46443,PhD,Employed,Married,1,8,0,Own,Urban,Fair,10.719187690461045,4979.824018656462,Full-Time,Approved,Excellent,0.13423841909374357
Customer90,58,85180,27723,26475,College,Employed,Single,2,3,0,Own,Rural,Excellent,18.927739125982562,1034.8366031430674,Part-Time,Denied,Good,0.07417263028492238
Customer91,46,53710,37574,18888,Master,Self-Employed,Divorced,2,6,1,Mortgage,Suburban,Good,1.7957274829367347,567.2748699690751,Contract,Approved,Good,0.9921717144484095
Customer92,32,59486,34958,43732,High School,Unemployed,Single,4,4,0,Rent,Rural,Poor,10.558298130008534,4505.085055169441,Part-Time,Denied,Poor,0.6555939512448392
Customer93,62,101907,9108,16087,Bachelor,Self-Employed,Married,1,9,0,Own,Urban,Good,12.100270987802645,1602.2907876468023,Contract,Denied,Excellent,0.5420965091983188
Customer94,18,101895,12178,46305,High School,Unemployed,Married,2,7,1,Mortgage,Rural,Poor,18.483742735411205,3783.648323510244,Contract,Approved,Fair,0.7654985004052995
Customer95,42,94435,35643,46037,Bachelor,Employed,Divorced,5,9,0,Own,Urban,Poor,1.9340119488071241,4149.569187194312,Contract,Approved,Poor,0.8400771596877241
Customer96,24,70631,31324,9346,Master,Unemployed,Single,3,10,0,Rent,Urban,Poor,11.896492113769105,4365.438759644526,Part-Time,Approved,Good,0.8067147680447275
Customer97,26,50103,38360,587,College,Self-Employed,Single,2,3,1,Mortgage,Urban,Excellent,17.218968642031182,4962.17406048875,Contract,Approved,Fair,0.016539449289876607
Customer98,41,94772,17824,12763,PhD,Self-Employed,Single,1,1,1,Mortgage,Urban,Excellent,5.596626834265495,1823.1786951799959,Contract,Denied,Excellent,0.18680789819049848
Customer99,18,44382,45360,41945,Master,Employed,Married,2,5,1,Rent,Rural,Excellent,17.649554621954813,3696.0950386726663,Part-Time,Denied,Good,0.654905302117831
Customer100,61,114291,8927,4079,High School,Unemployed,Single,3,3,1,Mortgage,Urban,Poor,1.3618247762115447,1019.299362263727,Contract,Denied,Fair,0.3757593478039629
Customer101,25,33756,28144,36116,PhD,Unemployed,Divorced,1,6,1,Rent,Urban,Poor,14.916637953540864,2330.6418111058224,Part-Time,Denied,Poor,0.982482651061107
Customer102,41,50609,31010,20215,College,Unemployed,Married,4,8,1,Mortgage,Rural,Good,18.729151202204406,4315.872619906657,Full-Time,Denied,Good,0.665404792638254
Customer103,28,46478,22443,25817,Master,Employed,Married,1,4,1,Mortgage,Suburban,Fair,13.486755571161183,2154.4612072659875,Contract,Denied,Excellent,0.9565489087292065
Customer104,34,69666,14437,24765,PhD,Unemployed,Single,4,5,0,Rent,Rural,Excellent,9.341555635628511,3159.929212410263,Part-Time,Denied,Good,0.20144648164579382
Customer105,25,105683,44298,30112,Master,Self-Employed,Divorced,1,5,0,Rent,Rural,Poor,1.8527393129816425,2766.9804967608534,Full-Time,Denied,Poor,0.8639570281150231
Customer106,52,101315,39778,25556,Master,Unemployed,Married,3,4,1,Mortgage,Rural,Good,18.482162453129945,3406.781890004203,Contract,Denied,Excellent,0.32135230581522534
Customer107,52,107834,11207,18099,College,Employed,Married,3,4,0,Mortgage,Urban,Good,9.93562823113992,4878.024752244627,Contract,Denied,Poor,0.9895648082378068
Customer108,50,44153,25537,43553,Bachelor,Unemployed,Single,1,4,0,Rent,Urban,Good,1.5509381423830122,750.8098692563095,Part-Time,Approved,Fair,0.1576886720731473
Customer109,22,106325,35757,45096,PhD,Unemployed,Single,2,4,1,Rent,Urban,Excellent,14.106600355246476,3082.8268287573337,Full-Time,Approved,Good,0.5163398188383266
Customer110,59,42999,12040,6450,College,Self-Employed,Divorced,3,4,0,Mortgage,Suburban,Excellent,10.154907817948905,4383.629506626281,Part-Time,Approved,Poor,0.792844533837122
Customer111,56,85318,41986,13230,Master,Unemployed,Single,4,5,1,Mortgage,Urban,Fair,3.3625610314058036,2666.222202867924,Contract,Denied,Fair,0.4326424806040359
Customer112,58,30814,22612,29009,College,Self-Employed,Divorced,4,2,0,Mortgage,Suburban,Good,5.071164376894932,853.3723367370776,Contract,Approved,Excellent,0.4680840601876467
Customer113,45,106077,28441,5433,Bachelor,Self-Employed,Married,5,2,1,Rent,Urban,Excellent,2.225322928661079,3022.427085875469,Contract,Denied,Excellent,0.986355795505741
Customer114,24,32443,6471,33866,PhD,Employed,Divorced,4,9,0,Mortgage,Rural,Good,11.911577254462898,1994.332508707192,Contract,Denied,Fair,0.4253081503011533
Customer115,26,105993,35631,39864,Bachelor,Self-Employed,Divorced,5,2,0,Own,Urban,Poor,12.818560105788176,1197.2380340207114,Full-Time,Approved,Fair,0.6040721005990636
Customer116,25,105916,43461,18710,High School,Self-Employed,Divorced,1,6,0,Rent,Suburban,Good,10.609103668753443,4320.655309775629,Full-Time,Denied,Excellent,0.0545396606751507
Customer117,29,103319,26523,11439,PhD,Employed,Married,1,2,1,Mortgage,Suburban,Fair,16.524940527049683,2847.1978084600473,Part-Time,Approved,Poor,0.84221008021026
Customer118,51,47368,31348,41855,Bachelor,Self-Employed,Single,1,5,0,Rent,Urban,Excellent,17.35916760485226,4699.7438557058,Part-Time,Denied,Fair,0.6481680489795435
Customer119,50,45328,1177,16021,Master,Employed,Married,2,4,0,Own,Rural,Poor,12.696863536979405,4127.074270713811,Part-Time,Denied,Poor,0.40402010286281353
Customer120,40,86942,4760,6416,PhD,Unemployed,Single,2,7,1,Rent,Urban,Excellent,1.2423731144411803,3618.373071981503,Contract,Approved,Excellent,0.01616953995451975
Customer121,41,57306,32779,6980,PhD,Employed,Divorced,5,7,1,Mortgage,Urban,Poor,14.209363459206978,522.6147651439037,Part-Time,Approved,Poor,0.5916688205935039
Customer122,54,115451,21636,18058,College,Self-Employed,Divorced,4,6,0,Own,Urban,Good,8.941985121486681,2425.2055548721246,Full-Time,Approved,Poor,0.012657828484162192
Customer123,52,69915,16353,11101,Master,Employed,Divorced,4,10,0,Own,Rural,Good,11.745592181301353,1388.6882674341455,Part-Time,Approved,Fair,0.0012036139090179088
Customer124,61,67219,11556,40718,High School,Self-Employed,Divorced,1,5,0,Mortgage,Suburban,Fair,13.332531438358803,4598.590599719905,Part-Time,Approved,Poor,0.6160985621493547
Customer125,57,110879,27598,32602,Bachelor,Unemployed,Divorced,3,1,0,Mortgage,Rural,Fair,7.654495672214458,1285.6279310436212,Full-Time,Approved,Poor,0.18901706733455426
Customer126,39,94644,11563,9122,College,Employed,Single,2,3,1,Mortgage,Suburban,Poor,18.42487159826409,1787.2702324667848,Full-Time,Denied,Poor,0.1918875497180953
Customer127,44,90279,46819,12576,Bachelor,Unemployed,Single,2,9,0,Rent,Suburban,Fair,3.545522468245843,2825.765454805246,Contract,Denied,Excellent,0.6532715658327437
Customer128,52,83028,43790,27516,High School,Self-Employed,Divorced,1,1,0,Rent,Suburban,Fair,13.75872433833971,1685.1362854913566,Full-Time,Denied,Excellent,0.05369718793937428
Customer129,18,30126,8234,22433,High School,Self-Employed,Married,2,5,1,Rent,Rural,Fair,1.082832019175028,1444.3910477560453,Full-Time,Denied,Good,0.31340556147455634
Customer130,52,82329,25519,1089,PhD,Unemployed,Married,1,2,0,Mortgage,Urban,Fair,18.568371002698434,3195.946962962386,Part-Time,Approved,Excellent,0.14943190214201907
Customer131,54,57632,26966,37346,High School,Employed,Divorced,5,4,0,Mortgage,Urban,Good,3.1375785315237383,900.1828523976073,Full-Time,Denied,Excellent,0.5801763697965339
Customer132,64,95310,16173,9127,Bachelor,Employed,Single,4,1,0,Rent,Urban,Fair,2.802800372803918,761.7549142441612,Contract,Denied,Good,0.6617651547273958
Customer133,31,85176,26987,10487,Master,Self-Employed,Married,3,3,1,Own,Urban,Good,7.327145027992641,2175.1038283373214,Part-Time,Approved,Good,0.7211358535990435
Customer134,20,116066,13178,155,Master,Unemployed,Married,4,10,1,Rent,Urban,Good,8.097759434742532,3742.9900452853803,Contract,Denied,Fair,0.25523121691856543
Customer135,18,74327,39338,1958,PhD,Unemployed,Married,4,7,0,Own,Rural,Excellent,5.071701374134694,2996.630412232766,Full-Time,Approved,Fair,0.089249751636584
Customer136,22,98904,24596,10693,Bachelor,Employed,Divorced,5,10,0,Mortgage,Rural,Good,12.11731155761537,2402.9441081005048,Contract,Approved,Excellent,0.07868365694189783
Customer137,43,33797,33174,39112,Bachelor,Employed,Married,2,3,1,Mortgage,Rural,Good,9.415367862797307,3045.8820390106207,Contract,Approved,Poor,0.4261515484507238
Customer138,31,77882,41974,38547,High School,Employed,Married,3,4,0,Rent,Rural,Fair,1.649336191780661,2144.531680939731,Full-Time,Denied,Fair,0.945844409062715
Customer139,56,43718,4431,28795,Bachelor,Unemployed,Married,2,2,0,Rent,Rural,Good,7.073389182850712,4712.658509444508,Full-Time,Approved,Fair,0.2177290342470246
Customer140,44,64560,27764,21447,College,Employed,Married,4,3,1,Mortgage,Rural,Poor,16.39822535789024,747.0720090984845,Part-Time,Denied,Excellent,0.25674160134154933
Customer141,26,106589,21627,36598,High School,Employed,Single,1,9,1,Rent,Rural,Fair,14.104329162375503,3530.261655634258,Part-Time,Denied,Poor,0.10088880210585893
Customer142,32,52116,39310,41814,College,Self-Employed,Divorced,4,3,1,Mortgage,Urban,Fair,14.772546218017728,4510.771991724878,Part-Time,Denied,Good,0.6055702738939303
Customer143,32,66244,8906,25215,PhD,Employed,Divorced,2,5,0,Mortgage,Suburban,Fair,14.264221557586948,4117.481189308641,Full-Time,Approved,Good,0.6798728739471749
Customer144,43,31645,36914,9794,Master,Employed,Single,4,2,0,Own,Rural,Excellent,6.908487406277633,1328.1846566965103,Contract,Approved,Excellent,0.64293120816076
Customer145,59,77523,44814,33209,PhD,Unemployed,Single,1,4,0,Rent,Suburban,Fair,2.8936145194587417,1831.6685704112977,Contract,Approved,Excellent,0.8611302430447813
Customer146,30,49256,45379,22424,Master,Unemployed,Divorced,5,7,0,Mortgage,Rural,Good,6.176876496628824,3726.7157241819714,Part-Time,Denied,Poor,0.48642583502607173
Customer147,49,83173,13076,47246,PhD,Self-Employed,Married,2,7,1,Rent,Rural,Poor,16.803920703518024,879.2175163134449,Part-Time,Denied,Excellent,0.13445704076706444
Customer148,56,67430,49292,37396,Bachelor,Employed,Married,4,3,0,Own,Urban,Fair,19.628945157878352,4153.377649246628,Full-Time,Approved,Excellent,0.28940513070441265
Customer149,49,69282,37650,6370,College,Self-Employed,Divorced,2,5,0,Own,Suburban,Fair,10.383093280089666,3735.0812507215564,Contract,Denied,Excellent,0.6624299734213518
Customer150,21,93374,46881,9528,Master,Unemployed,Married,5,1,1,Rent,Urban,Poor,1.1843067435378023,3783.2299215590415,Part-Time,Approved,Poor,0.6131219737415599
Customer151,47,98244,46413,28276,High School,Self-Employed,Single,4,10,1,Rent,Urban,Fair,3.660851430550352,951.0861662041613,Full-Time,Approved,Excellent,0.5310031297429625
Customer152,54,41694,6012,44333,College,Unemployed,Married,4,10,0,Mortgage,Suburban,Excellent,7.1195309310090495,3729.9224516730387,Part-Time,Denied,Fair,0.6829644186886872
Customer153,40,86264,7151,8179,High School,Self-Employed,Married,2,10,1,Own,Urban,Good,11.993121623266045,3559.181563489865,Full-Time,Denied,Poor,0.6373908503732993
Customer154,56,105060,28211,48781,College,Self-Employed,Married,2,1,1,Own,Rural,Poor,2.4267792703009654,4239.1512086983275,Contract,Approved,Fair,0.8813248894649517
Customer155,62,87545,27117,16843,College,Employed,Divorced,1,5,0,Own,Rural,Poor,18.92378867548775,687.1818031541128,Full-Time,Denied,Poor,0.5860163774782966
Customer156,32,69224,36378,23952,PhD,Self-Employed,Single,5,10,0,Rent,Rural,Excellent,7.9365897924036135,603.9980081050649,Part-Time,Approved,Fair,0.7786013587005565
Customer157,60,43224,42652,33160,Master,Employed,Married,1,9,0,Mortgage,Rural,Good,18.339100140571638,2178.5319494535233,Part-Time,Approved,Poor,0.24870715596646786
Customer158,46,70738,6894,44898,Master,Employed,Divorced,4,1,0,Rent,Rural,Excellent,15.829914252383414,1169.547277321188,Contract,Denied,Good,0.678182584589068
